@relation activity-weka.filters.unsupervised.attribute.AddExpression-Ea2-a1-Nduration-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-Rlast

@attribute user_id numeric
@attribute start numeric
@attribute end numeric
@attribute duration {0,1,2,3}

@data
22,11026,11052,0
22,11589,41143,0
22,46770,46772,0
22,46997,46999,0
22,47663,47666,0
22,48237,48287,0
22,50872,52124,0
22,61491,90727,0
22,90970,92123,1
22,106182,106220,1
22,106307,136967,1
22,143364,146012,1
22,180512,194259,2
22,194463,237635,2
22,237664,270906,3
23,30083,49387,0
23,115897,115924,1
24,10970,17131,0
24,17171,17529,0
24,23729,29660,0
24,34149,46903,0
24,118082,118363,1
24,118566,161661,1
24,161768,181801,2
25,2805,4830,0
25,10370,13335,0
25,33227,37099,0
25,183922,208633,2
26,10649,11662,0
26,22719,22888,0
26,22952,38310,0
27,17333,27350,0
27,89370,132568,1
27,132572,175698,1
27,175773,181855,2
28,17516,23793,0
28,23858,66992,0
28,67059,110256,0
28,110259,114818,1
28,120382,163539,1
28,163583,203067,2
29,3246,25431,0
29,28981,33160,0
29,100549,100777,1
29,190151,206925,2
30,103795,114650,1
31,46816,53613,0
31,84016,96963,1
32,53353,90406,0
32,90530,96203,1
32,96240,120927,1
32,121027,133028,1
32,179799,185726,2
32,194615,207329,2
32,269317,271164,3
33,4133,12168,0
33,12390,15296,0
33,53210,96317,0
33,96411,104120,1
33,116984,135703,1
33,192161,196370,2
33,209973,253139,2
33,253175,270206,3
34,2021,7252,0
34,8536,28559,0
34,41022,84219,0
34,84223,121096,1
34,181134,190501,2
34,191151,203327,2
35,29059,36271,0
35,52946,53525,0
35,91132,91159,1
36,2849,3993,0
36,4380,9964,0
36,10008,22253,0
36,86760,124497,1
36,124870,124887,1
36,127004,131635,1
36,151007,156508,1
36,184295,186000,2
37,7669,29784,0
37,29864,29880,0
38,2519,7647,0
38,97039,97046,1
38,97270,140468,1
38,140472,183670,1
38,183671,196878,2
39,23096,48076,0
39,66663,109860,0
39,109864,153026,1
39,153066,158095,1
39,159779,202941,2
39,202981,246174,2
39,246183,263124,3
40,4358,5601,0
40,52273,53094,0
40,97484,111334,1
41,4868,17026,0
42,5405,31034,0
42,31199,49962,0
42,88799,131954,1
42,132001,158654,1
42,178368,178395,2
43,16389,52070,0
43,53369,96637,0
43,96639,129407,1
43,192746,195748,2
44,4535,47661,0
44,47736,90813,0
44,90936,134130,1
44,134136,176139,1
45,1852,22618,0
45,92379,93875,1
45,94308,134694,1
45,181553,191422,2
45,192074,203681,2
46,3491,13529,0
46,199134,208283,2
47,3245,33300,0
47,36819,80010,0
47,80020,83383,1
47,89643,110466,1
47,111309,123251,1
47,130245,131926,1
47,139733,146478,1
47,147397,154092,1
47,162952,186014,2
47,186408,209692,2
47,212511,212539,2
47,215958,228240,2
47,265960,266019,3
48,9431,10198,0
48,11581,22116,0
48,24216,25700,0
48,27466,29266,0
48,31755,31915,0
48,31982,35073,0
48,96361,101781,1
48,118764,161871,1
48,161966,199209,2
48,199499,199584,2
49,3020,46219,0
49,46222,89288,0
49,114081,157181,1
49,157282,200476,2
49,200483,209147,2
50,7074,10319,0
50,111754,113139,1
50,113761,113775,1
50,123443,123458,1
50,131799,174936,1
51,3518,36901,0
51,105634,119380,1
51,190870,191026,2
51,198044,204587,2
51,204681,208143,2
52,9397,10327,0
52,11046,30185,0
52,30640,31505,0
53,97653,116814,1
54,34538,77632,0
54,97604,108453,1
55,31893,37935,0
55,95855,111540,1
55,111688,133338,1
55,137230,137283,1
55,178854,179404,2
55,179822,188839,2
55,189978,225882,2
55,277254,279051,3
55,284361,289025,3
55,289193,289401,3
56,37607,53234,0
56,53307,68111,0
56,68869,68922,0
56,69293,69463,0
56,69541,108098,0
56,108265,119143,1
56,120119,137671,1
56,141834,141901,1
56,183819,202147,2
