@relation friends1-weka.filters.unsupervised.attribute.AddExpression-E0-Ntime_added

@attribute user1_id numeric
@attribute user2_id numeric
@attribute time_added numeric

@data
34,19,108049
34,60,13456
34,75,3053
34,52,10069
34,46,5590
34,8,193516
34,47,5666
34,20,0
34,59,0
34,45,0
34,13,0
34,50,0
34,55,0
35,37,0
35,60,0
35,36,0
35,5,30245
35,7,0
35,6,0
35,32,53153
36,46,5047
36,31,92042
36,43,92082
36,12,92108
36,38,6185
36,63,0
36,64,5698
36,1,94398
36,32,4668
36,61,4699
36,15,5179
36,57,93385
36,66,0
38,61,0
38,76,0
38,11,177825
38,32,103956
38,60,98233
38,25,4116
38,36,97558
39,13,0
39,18,0
39,7,0
39,9,0
39,20,0
39,44,0
39,31,0
39,48,0
39,49,0
39,57,0
39,63,0
39,75,0
39,21,0
39,76,0
39,70,0
40,59,0
43,71,0
43,9,0
43,76,96830
43,19,36334
43,4,105500
43,12,36323
43,31,90205
43,32,88063
44,9,0
44,70,0
44,76,0
44,46,0
44,20,0
44,61,0
44,39,0
45,19,108109
45,22,109112
45,8,132010
45,66,133129
45,60,108074
45,21,99516
45,68,5739
45,49,6814
45,26,8360
45,46,5433
45,47,5407
45,32,5382
45,33,5367
45,61,1899
45,41,8384
45,74,2583
45,76,4015
45,75,2865
45,31,8407
45,48,12501
45,63,15100
45,28,18145
45,52,18230
45,57,96005
45,42,15443
45,24,15128
45,29,17129
45,27,102995
46,41,13291
46,47,0
46,44,0
47,49,36912
47,13,37044
47,34,11246
47,45,11293
47,59,56688
47,27,89886
47,11,180479
47,61,179820
47,66,0
47,38,181467
47,3,185895
47,56,189224
47,63,37375
47,32,89827
47,65,203495
47,19,115649
47,12,109716
47,28,116081
47,76,101800
47,31,90499
47,60,109663
47,57,90071
47,36,90557
47,22,93215
47,17,90446
47,16,98056
47,64,97157
47,4,101500
47,46,0
47,42,99182
47,55,100516
48,12,0
48,76,0
48,25,0
48,51,0
48,20,0
48,61,0
48,39,0
49,17,201661
49,34,0
49,45,8560
49,8,193299
49,21,0
49,15,10327
49,29,193288
49,13,0
49,39,0
50,2,0
50,34,0
50,60,0
50,59,0
50,56,0
50,13,0
50,64,0
50,74,0
51,61,0
51,76,0
51,48,0
51,31,0
51,25,0
51,43,16953
51,18,0
51,12,0
51,9,0
52,65,0
52,32,13952
52,33,0
52,34,13121
52,15,0
52,28,17807
52,29,0
52,36,17865
52,45,17828
52,70,19201
52,9,30145
52,12,31203
52,7,31226
52,49,19172
52,69,12949
52,63,15400
52,5,29821
54,56,0
54,55,0
54,21,0
54,59,0
54,34,0
54,13,0
54,74,0
55,54,0
55,60,195918
55,24,180096
55,56,0
55,14,100292
55,74,0
55,59,0
55,34,0
55,7,0
55,2,0
55,76,97629
55,63,0
56,60,214222
56,17,53377
56,74,0
56,59,0
56,50,0
56,2,0
56,55,0
56,54,0
57,39,0
57,13,0
57,32,180764
58,75,0
59,8,101845
59,40,0
59,47,98025
59,19,97498
59,60,97483
59,36,95936
59,74,93032
59,55,99239
59,64,37922
59,56,91352
59,34,0
59,64,99712
59,63,117059
59,64,0
60,6,0
60,35,0
60,76,99954
60,56,195711
60,36,142300
60,59,99965
60,55,195700
61,3,3380
61,58,3415
61,32,23453
61,31,0
61,25,0
61,18,0
61,38,0
61,44,0
61,48,0
61,36,3394
61,33,17220
61,13,0
61,76,0
61,70,0
61,75,0
61,12,0
61,51,0
61,24,24043
61,21,23640
61,43,24062
63,65,10739
63,13,0
63,9,0
63,39,0
63,55,0
63,36,0
63,20,0
63,75,0
64,50,0
64,59,0
64,47,97212
64,8,204106
65,66,0
65,52,12648
65,36,138016
65,63,10573
66,9,0
66,65,0
66,47,0
66,36,0
67,72,0
69,72,0
69,1,41199
69,22,0
69,63,194223
69,10,41086
69,39,194215
70,44,0
70,39,0
70,75,0
70,61,0
70,9,0
71,4,103523
71,43,0
71,9,0
71,31,0
72,67,0
74,28,14199
74,34,101513
74,36,104068
74,56,0
74,54,0
74,13,0
74,50,0
74,55,0
74,59,0
74,76,0
75,41,5906
75,12,91838
75,76,0
75,63,0
75,25,0
75,31,0
75,39,0
75,18,0
75,13,0
75,9,0
75,61,0
75,70,0
76,43,97374
76,17,96293
76,55,97218
76,74,0
76,56,97544
76,48,0
76,51,0
76,61,0
76,44,0
76,39,0
76,31,0
76,9,0
76,13,0
76,20,0
76,75,0
76,60,109730
