@relation relationships-weka.filters.unsupervised.attribute.NumericToNominal-R11-weka.filters.unsupervised.attribute.Discretize-F-B2-M-1.0-R3-10

@attribute detectorId numeric
@attribute detectedId numeric
@attribute detected_frequency {0,1}
@attribute detected_daytime {0,1}
@attribute detected_evening {0,1}
@attribute detected_latenight {0,1}
@attribute duration_short {0,1}
@attribute duration_long {0,1}
@attribute distance_close {0,1}
@attribute distance_far {0,1}
@attribute friendship {0,1}

@data
16,10,0,0,0,0,0,0,0,0,0
16,11,0,0,0,0,0,0,0,0,1
16,12,0,0,0,0,0,0,0,0,1
16,13,0,0,0,0,0,0,0,0,1
16,14,0,0,0,0,0,0,0,0,1
16,15,0,0,0,0,0,0,0,0,0
16,17,0,0,0,0,0,0,0,0,1
16,18,0,0,0,0,0,0,0,0,1
16,19,0,0,0,0,0,0,0,0,0
16,20,0,0,0,0,0,0,0,0,0
16,21,0,0,0,0,0,0,0,0,0
16,22,0,0,0,0,0,0,0,0,0
16,23,0,0,0,0,0,0,0,0,0
16,24,0,0,0,0,0,0,0,0,0
17,1,0,0,0,0,0,0,0,0,1
17,2,1,0,1,0,1,0,1,0,1
17,3,0,0,0,0,0,0,0,0,0
17,4,1,0,1,0,1,0,1,1,1
17,5,0,0,0,0,0,0,0,0,1
17,6,0,0,0,0,0,0,0,0,1
17,7,0,0,0,0,0,0,0,0,1
17,8,0,0,0,0,0,0,0,0,0
17,9,1,0,1,0,1,1,1,1,1
17,10,0,0,0,0,0,0,0,0,0
17,11,1,0,1,0,0,1,1,1,1
17,12,0,0,0,0,0,0,0,0,1
17,13,0,0,0,0,0,0,0,0,1
17,14,1,0,1,0,0,1,1,1,1
17,15,1,0,1,0,1,1,0,1,1
17,16,0,0,0,0,0,0,0,0,1
17,18,0,0,0,0,0,0,0,0,1
17,19,1,1,0,0,0,1,1,0,1
17,20,1,1,0,0,0,1,1,1,0
17,21,0,0,0,0,0,0,0,0,0
17,22,0,0,0,0,0,0,0,0,0
17,23,0,0,0,0,0,0,0,0,0
17,24,0,0,0,0,0,0,0,0,0
18,1,1,1,0,0,1,1,1,0,0
18,2,1,1,0,0,1,1,1,0,0
18,3,0,0,0,0,0,0,0,0,0
18,4,1,1,1,0,0,1,1,1,0
18,5,1,1,0,0,0,1,1,1,1
18,6,0,0,0,0,0,0,0,0,0
18,7,0,0,0,0,0,0,0,0,0
18,8,1,1,1,0,1,1,1,1,0
18,9,0,0,0,0,0,0,0,0,1
18,10,1,1,0,0,1,1,1,0,0
18,11,1,1,0,0,1,1,1,1,0
18,12,0,0,0,0,0,0,0,0,0
18,13,0,0,0,0,0,0,0,0,0
18,14,1,1,0,0,1,1,1,0,1
18,15,0,0,0,0,0,0,0,0,0
18,16,0,0,0,0,0,0,0,0,1
18,17,0,0,0,0,0,0,0,0,1
18,19,0,0,0,0,0,0,0,0,0
18,20,0,0,0,0,0,0,0,0,0
18,21,1,1,0,0,1,1,1,0,0
18,22,0,0,0,0,0,0,0,0,0
18,23,0,0,0,0,0,0,0,0,0
18,24,0,0,0,0,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,1
19,2,1,1,0,0,0,1,1,1,1
19,3,1,1,0,0,0,1,1,1,0
19,4,1,1,0,0,0,1,1,0,1
19,5,1,0,1,0,1,0,1,0,1
19,6,1,1,0,0,0,1,1,0,0
19,7,0,0,0,0,0,0,0,0,1
19,8,1,1,0,0,1,0,1,0,0
19,9,0,0,0,0,0,0,0,0,1
19,10,0,0,0,0,0,0,0,0,0
19,11,0,0,0,0,0,0,0,0,0
19,12,0,0,0,0,0,0,0,0,1
19,13,0,0,0,0,0,0,0,0,0
19,14,0,0,0,0,0,0,0,0,1
19,15,1,0,1,0,1,0,1,0,0
19,16,0,0,0,0,0,0,0,0,0
19,17,1,1,0,0,1,1,1,1,1
19,18,0,0,0,0,0,0,0,0,0
19,20,1,1,0,0,0,1,1,0,0
19,21,0,0,0,0,0,0,0,0,0
19,22,0,0,0,0,0,0,0,0,0
19,23,0,0,0,0,0,0,0,0,0
19,24,0,0,0,0,0,0,0,0,0
20,1,0,0,0,0,0,0,0,0,1
20,2,1,1,0,0,0,1,0,1,1
20,3,0,0,0,0,0,0,0,0,0
20,4,0,0,0,0,0,0,0,0,1
