@relation relationships-weka.filters.unsupervised.attribute.NumericToNominal-R11

@attribute detectorId numeric
@attribute detectedId numeric
@attribute detected_frequency numeric
@attribute detected_daytime numeric
@attribute detected_evening numeric
@attribute detected_latenight numeric
@attribute duration_short numeric
@attribute duration_long numeric
@attribute distance_close numeric
@attribute distance_far numeric
@attribute friendship {0,1}

@data
10,7,0,0,0,0,0,0,0,0,0
10,8,3,3,0,0,0,3,3,0,0
10,9,0,0,0,0,0,0,0,0,0
10,11,0,0,0,0,0,0,0,0,0
10,12,0,0,0,0,0,0,0,0,0
10,13,0,0,0,0,0,0,0,0,0
10,14,0,0,0,0,0,0,0,0,1
10,15,0,0,0,0,0,0,0,0,1
10,16,0,0,0,0,0,0,0,0,0
10,17,0,0,0,0,0,0,0,0,0
10,18,5,5,0,0,2,3,5,0,0
10,19,0,0,0,0,0,0,0,0,0
10,20,0,0,0,0,0,0,0,0,0
10,21,0,0,0,0,0,0,0,0,0
10,22,0,0,0,0,0,0,0,0,0
10,23,0,0,0,0,0,0,0,0,0
10,24,0,0,0,0,0,0,0,0,0
11,1,0,0,0,0,0,0,0,0,1
11,2,3,0,3,0,1,2,2,1,0
11,3,0,0,0,0,0,0,0,0,0
11,4,0,0,0,0,0,0,0,0,1
11,5,7,0,7,0,1,6,2,5,1
11,6,0,0,0,0,0,0,0,0,1
11,7,0,0,0,0,0,0,0,0,1
11,8,10,0,10,0,2,8,9,1,0
11,9,3,0,3,0,1,2,2,1,1
11,10,0,0,0,0,0,0,0,0,0
11,12,0,0,0,0,0,0,0,0,1
11,13,0,0,0,0,0,0,0,0,1
11,14,6,0,6,0,0,6,0,6,1
11,15,8,0,8,0,1,7,6,2,0
11,16,0,0,0,0,0,0,0,0,1
11,17,1,0,1,0,0,1,1,0,1
11,18,5,0,5,0,3,2,4,1,0
11,19,1,1,0,0,0,1,1,0,0
11,20,0,0,0,0,0,0,0,0,0
11,21,6,0,6,0,0,6,0,6,0
11,22,0,0,0,0,0,0,0,0,0
11,23,0,0,0,0,0,0,0,0,0
11,24,0,0,0,0,0,0,0,0,0
12,1,3,3,0,0,2,1,0,3,1
12,2,4,4,0,0,1,3,0,4,1
12,3,0,0,0,0,0,0,0,0,0
12,4,254,191,63,0,254,0,208,46,1
12,5,322,0,287,35,322,0,70,252,1
12,6,0,0,0,0,0,0,0,0,1
12,7,612,25,587,0,612,0,478,134,1
12,8,3,3,0,0,2,1,3,0,1
12,9,17,17,0,0,17,0,5,12,1
12,10,0,0,0,0,0,0,0,0,0
12,11,0,0,0,0,0,0,0,0,1
